,movie,year,imdb,metascore,votes,n_imdb
0,Gladiator,2000,8.5,67,1065382,85.0
1,Memento,2000,8.5,80,913812,85.0
2,Snatch,2000,8.3,55,645975,83.0
3,Requiem for a Dream,2000,8.3,68,620194,83.0
4,X-Men,2000,7.4,64,487451,74.0
5,Cast Away,2000,7.7,73,423925,77.0
6,American Psycho,2000,7.6,64,385286,76.0
7,Unbreakable,2000,7.2,62,275508,72.0
8,Meet the Parents,2000,7.0,73,272796,70.0
9,Mission: Impossible II,2000,6.1,59,257679,61.0
10,"O Brother, Where Art Thou?",2000,7.8,69,239738,78.0
11,Gone in Sixty Seconds,2000,6.5,35,228791,65.0
12,"Crouching Tiger, Hidden Dragon",2000,7.9,93,226355,79.0
13,The Patriot,2000,7.2,63,219436,72.0
14,Almost Famous,2000,7.9,90,218046,79.0
15,Pitch Black,2000,7.1,49,201791,71.0
16,Scary Movie,2000,6.2,48,197099,62.0
17,"Me, Myself & Irene",2000,6.6,49,194649,66.0
18,Final Destination,2000,6.7,36,191682,67.0
19,The Beach,2000,6.6,43,188785,66.0
20,Amores Perros,2000,8.1,83,185479,81.0
21,Traffic,2000,7.6,86,176475,76.0
22,Remember the Titans,2000,7.8,48,170029,78.0
23,What Women Want,2000,6.4,47,167258,64.0
24,Chocolat,2000,7.3,64,157471,73.0
25,How the Grinch Stole Christmas,2000,6.0,46,154056,60.0
26,Charlie's Angels,2000,5.5,52,151609,55.0
27,High Fidelity,2000,7.5,79,149296,75.0
28,Chicken Run,2000,7.0,88,148679,70.0
29,Miss Congeniality,2000,6.2,43,148362,62.0
30,Battle Royale,2000,7.7,81,146147,77.0
31,Erin Brockovich,2000,7.3,73,143781,73.0
32,The Emperor's New Groove,2000,7.3,70,139590,73.0
33,Road Trip,2000,6.5,55,139200,65.0
34,The Perfect Storm,2000,6.4,59,138363,64.0
35,"Dude, Where's My Car?",2000,5.5,30,120996,55.0
36,Hollow Man,2000,5.7,24,106786,57.0
37,Scream 3,2000,5.5,56,104080,55.0
38,The 6th Day,2000,5.9,49,103945,59.0
39,Billy Elliot,2000,7.7,74,103436,77.0
40,Shanghai Noon,2000,6.6,77,102414,66.0
41,What Lies Beneath,2000,6.6,51,102373,66.0
42,Pay It Forward,2000,7.2,40,100718,72.0
43,Coyote Ugly,2000,5.6,27,94615,56.0
44,The Whole Nine Yards,2000,6.7,47,94322,67.0
45,Men of Honor,2000,7.2,56,94076,72.0
46,The Family Man,2000,6.7,42,90017,67.0
47,Frequency,2000,7.4,67,86878,74.0
48,Bedazzled,2000,6.0,49,85441,60.0
49,Little Nicky,2000,5.3,38,84660,53.0
50,In the Mood for Love,2000,8.1,85,84554,81.0
51,Dancer in the Dark,2000,8.0,61,84295,80.0
52,The Cell,2000,6.3,40,83422,63.0
53,Finding Forrester,2000,7.3,62,75285,73.0
54,Bring It On,2000,5.9,52,73848,59.0
55,Malèna,2000,7.5,54,70769,75.0
56,Big Momma's House,2000,5.1,33,70468,51.0
57,U-571,2000,6.6,62,68245,66.0
58,Battlefield Earth,2000,2.4,9,67670,24.0
59,The Road to El Dorado,2000,6.9,51,64528,69.0
60,Space Cowboys,2000,6.4,73,63159,64.0
61,Mission to Mars,2000,5.6,34,62956,56.0
62,Shaft,2000,5.9,50,60920,59.0
63,Romeo Must Die,2000,6.1,52,59318,61.0
64,Wonder Boys,2000,7.4,73,56310,74.0
65,The Gift,2000,6.7,62,54754,67.0
66,Titan A.E.,2000,6.6,48,53839,66.0
67,Vertical Limit,2000,5.9,48,51719,59.0
68,The Crimson Rivers,2000,6.9,49,50862,69.0
69,Proof of Life,2000,6.2,45,50687,62.0
70,The Replacements,2000,6.5,30,50497,65.0
71,Red Planet,2000,5.7,34,49507,57.0
72,Best in Show,2000,7.5,78,47831,75.0
73,The Legend of Bagger Vance,2000,6.7,47,47651,67.0
74,Thirteen Days,2000,7.3,67,47333,73.0
75,Quills,2000,7.3,70,46388,73.0
76,Keeping the Faith,2000,6.4,60,46012,64.0
77,Sexy Beast,2000,7.3,79,45622,73.0
78,Boiler Room,2000,7.0,63,43360,70.0
79,Dinosaur,2000,6.5,56,41458,65.0
80,Nutty Professor II: The Klumps,2000,4.3,38,41395,43.0
81,Nine Queens,2000,7.9,80,41062,79.0
82,Rules of Engagement,2000,6.4,45,39108,64.0
83,28 Days,2000,6.0,46,36609,60.0
84,The Kid,2000,6.1,45,35850,61.0
85,Shadow of the Vampire,2000,6.9,71,35351,69.0
86,Ginger Snaps,2000,6.8,70,35032,68.0
87,Tigerland,2000,7.0,55,34414,70.0
88,Reindeer Games,2000,5.7,37,32747,57.0
89,Small Time Crooks,2000,6.7,69,32633,67.0
90,Chopper,2000,7.2,65,32626,72.0
91,Book of Shadows: Blair Witch 2,2000,4.0,15,31221,40.0
92,Nurse Betty,2000,6.2,69,30675,62.0
93,Next Friday,2000,6.1,41,29763,61.0
94,Get Carter,2000,5.1,24,28622,51.0
95,Dungeons & Dragons,2000,3.6,14,28543,36.0
96,Dracula 2000,2000,4.9,26,28415,49.0
97,The Way of the Gun,2000,6.7,49,28337,67.0
98,Where the Heart Is,2000,6.8,30,28259,68.0
99,102 Dalmatians,2000,4.8,35,28176,48.0
100,The Skulls,2000,5.6,24,27857,56.0
101,The Art of War,2000,5.7,30,25999,57.0
102,Vampire Hunter D: Bloodlust,2000,7.7,62,24317,77.0
103,You Can Count on Me,2000,7.7,85,24058,77.0
104,Pollock,2000,7.0,77,24021,70.0
105,Loser,2000,5.3,35,23843,53.0
106,The Watcher,2000,5.3,22,22984,53.0
107,Before Night Falls,2000,7.3,85,21570,73.0
108,Autumn in New York,2000,5.5,24,21256,55.0
109,The Contender,2000,7.0,59,21105,70.0
110,J.S.A.: Joint Security Area,2000,7.9,58,20444,79.0
111,Brother,2000,7.2,47,19434,72.0
112,Under Suspicion,2000,6.5,43,19082,65.0
113,The Million Dollar Hotel,2000,5.9,25,18996,59.0
114,State and Main,2000,6.8,75,18814,68.0
115,Together,2000,7.5,84,18298,75.0
116,Bounce,2000,5.7,52,18206,57.0
117,In July,2000,7.8,71,17657,78.0
118,The Adventures of Rocky & Bullwinkle,2000,4.2,36,17260,42.0
119,My Dog Skip,2000,7.0,61,17260,70.0
120,Return to Me,2000,6.9,54,17118,69.0
121,Highlander: Endgame,2000,4.6,21,17062,46.0
122,The Yards,2000,6.4,58,16988,64.0
123,The Flintstones in Viva Rock Vegas,2000,3.6,27,16604,36.0
124,Center Stage,2000,6.7,52,16445,67.0
125,Dr. T & the Women,2000,4.6,64,16075,46.0
126,Saving Grace,2000,6.9,62,15908,69.0
127,Flickering Lights,2000,7.7,47,15799,77.0
128,Love & Basketball,2000,7.2,70,15278,72.0
129,Supernova,2000,4.8,19,15196,48.0
130,Rape Me,2000,4.5,35,15131,45.0
131,Boys and Girls,2000,5.4,29,14281,54.0
132,Yi Yi,2000,8.1,93,14230,81.0
133,The Tigger Movie,2000,6.3,53,14094,63.0
134,Songs from the Second Floor,2000,7.7,76,13809,77.0
135,Urban Legends: Final Cut,2000,4.1,16,13631,41.0
136,The Princess and the Warrior,2000,7.6,64,13328,76.0
137,The Dish,2000,7.2,74,13274,72.0
138,The Man Who Cried,2000,6.2,40,12961,62.0
139,Gossip,2000,5.9,31,12929,59.0
140,Down to You,2000,4.9,13,12777,49.0
141,Bless the Child,2000,5.1,17,12502,51.0
142,Ready to Rumble,2000,5.3,23,12192,53.0
143,Drowning Mona,2000,5.6,25,12092,56.0
144,Cecil B. DeMented,2000,6.2,57,11826,62.0
145,All the Pretty Horses,2000,5.8,55,11769,58.0
146,Italian for Beginners,2000,7.1,77,11701,71.0
147,Gangster No. 1,2000,6.8,60,11437,68.0
148,The Ladies Man,2000,5.1,22,11144,51.0
149,Animal Factory,2000,6.6,65,10994,66.0
150,The Isle,2000,7.1,61,10750,71.0
151,Blood: The Last Vampire,2000,6.7,44,10586,67.0
152,Anatomy,2000,6.1,33,10552,61.0
153,Hanging Up,2000,4.8,33,10548,48.0
154,Snow Day,2000,5.0,34,9879,50.0
155,Lost Souls,2000,4.8,16,9656,48.0
156,The Next Best Thing,2000,4.7,25,9648,47.0
157,Werckmeister Harmonies,2000,8.3,92,9608,83.0
158,Bait,2000,5.7,39,9437,57.0
159,Code Unknown,2000,7.2,74,9136,72.0
160,Bamboozled,2000,6.5,50,8977,65.0
161,The Lord of the Rings: The Fellowship of the Ring,2001,8.8,92,1334223,88.0
162,A Beautiful Mind,2001,8.2,72,669806,82.0
163,"Monsters, Inc.",2001,8.1,78,641818,81.0
164,Donnie Darko,2001,8.1,88,626557,81.0
165,Amélie,2001,8.4,69,578130,84.0
166,Shrek,2001,7.9,84,500060,79.0
167,Harry Potter and the Sorcerer's Stone,2001,7.5,64,490288,75.0
168,Spirited Away,2001,8.6,96,466324,86.0
169,Ocean's Eleven,2001,7.8,74,429566,78.0
170,Training Day,2001,7.7,69,325360,77.0
171,Black Hawk Down,2001,7.7,74,310138,77.0
172,The Fast and the Furious,2001,6.7,58,292409,67.0
173,The Others,2001,7.6,74,287557,76.0
174,Pearl Harbor,2001,6.1,44,269534,61.0
175,The Mummy Returns,2001,6.3,48,261949,63.0
176,Mulholland Drive,2001,8.0,83,258818,80.0
177,A.I. Artificial Intelligence,2001,7.1,65,252547,71.0
178,Jurassic Park III,2001,5.9,42,236247,59.0
179,Moulin Rouge!,2001,7.6,66,234959,76.0
180,The Royal Tenenbaums,2001,7.6,76,222770,76.0
181,Hannibal,2001,6.8,57,218932,68.0
182,Vanilla Sky,2001,6.9,45,216378,69.0
183,Zoolander,2001,6.6,61,212970,66.0
184,American Pie 2,2001,6.4,43,209795,64.0
185,Blow,2001,7.6,52,208840,76.0
186,Enemy at the Gates,2001,7.6,53,202500,76.0
187,Planet of the Apes,2001,5.7,50,186723,57.0
188,Bridget Jones's Diary,2001,6.7,66,186704,67.0
189,Rush Hour 2,2001,6.6,48,169716,66.0
190,Lara Croft: Tomb Raider,2001,5.8,33,165948,58.0
191,Swordfish,2001,6.5,32,160835,65.0
192,K-PAX,2001,7.4,49,157140,74.0
193,A Knight's Tale,2001,6.9,56,144628,69.0
194,Legally Blonde,2001,6.2,59,142732,62.0
195,Jay and Silent Bob Strike Back,2001,6.9,51,133498,69.0
196,From Hell,2001,6.8,54,130656,68.0
197,I Am Sam,2001,7.6,28,127487,76.0
198,Scary Movie 2,2001,5.3,29,126444,53.0
199,Spy Game,2001,7.1,63,126443,71.0
200,Shallow Hal,2001,5.9,48,113782,59.0
201,The Score,2001,6.8,71,106093,68.0
202,Evolution,2001,6.1,40,106003,61.0
203,The Princess Diaries,2001,6.3,52,102143,63.0
204,Ghost World,2001,7.4,88,100761,74.0
205,Rat Race,2001,6.4,52,96915,64.0
206,Y Tu Mamá También,2001,7.7,88,96616,77.0
207,Jeepers Creepers,2001,6.1,49,92943,61.0
208,The Mexican,2001,6.1,43,91103,61.0
209,Serendipity,2001,6.9,52,90676,69.0
210,Behind Enemy Lines,2001,6.4,49,90149,64.0
211,The Man Who Wasn't There,2001,7.6,73,89947,76.0
212,Spy Kids,2001,5.4,71,89705,54.0
213,Not Another Teen Movie,2001,5.7,32,84234,57.0
214,Ali,2001,6.8,65,82506,68.0
215,The Experiment,2001,7.8,60,82084,78.0
216,Lagaan: Once Upon a Time in India,2001,8.2,84,81482,82.0
217,The One,2001,5.9,25,81350,59.0
218,Super Troopers,2001,7.1,48,79932,71.0
219,Atlantis: The Lost Empire,2001,6.8,52,79540,68.0
220,Final Fantasy: The Spirits Within,2001,6.4,49,75068,64.0
221,Monster's Ball,2001,7.1,69,74118,71.0
222,Sweet November,2001,6.7,27,73915,67.0
223,Thir13en Ghosts,2001,5.5,30,68481,55.0
224,Kate & Leopold,2001,6.4,44,68365,64.0
225,Gosford Park,2001,7.3,90,67935,73.0
226,The Wedding Planner,2001,5.2,33,65069,52.0
227,Frailty,2001,7.3,64,64814,73.0
228,Along Came a Spider,2001,6.3,42,62127,63.0
229,Shaolin Soccer,2001,7.3,68,61222,73.0
230,The Last Castle,2001,6.9,43,59740,69.0
231,Bandits,2001,6.5,60,58947,65.0
232,Joy Ride,2001,6.6,75,55803,66.0
233,Kiss of the Dragon,2001,6.6,58,55009,66.0
234,Brotherhood of the Wolf,2001,7.1,57,54594,71.0
235,Waking Life,2001,7.8,82,52322,78.0
236,The Devil's Backbone,2001,7.5,78,50852,75.0
237,Save the Last Dance,2001,6.2,53,50240,62.0
238,The Animal,2001,4.8,43,49651,48.0
239,America's Sweethearts,2001,5.7,44,49317,57.0
240,Cats & Dogs,2001,5.1,47,48524,51.0
241,Original Sin,2001,6.0,33,47003,60.0
242,The Majestic,2001,6.9,27,46749,69.0
243,Session 9,2001,6.5,58,46189,65.0
244,Heartbreakers,2001,6.2,47,45933,62.0
245,How High,2001,6.3,29,45287,63.0
246,Ghosts of Mars,2001,4.9,35,44932,49.0
247,Ichi the Killer,2001,7.1,50,44725,71.0
248,The Pledge,2001,6.8,71,44724,68.0
249,15 Minutes,2001,6.1,34,44016,61.0
250,Formula 51,2001,6.3,23,43996,63.0
251,Wet Hot American Summer,2001,6.7,42,43757,67.0
252,Joe Dirt,2001,5.9,20,43684,59.0
253,The Piano Teacher,2001,7.4,79,42445,74.0
254,Don't Say a Word,2001,6.3,38,42185,63.0
255,Jason X,2001,4.4,25,41411,44.0
256,Freddy Got Fingered,2001,4.5,13,40966,45.0
257,Life as a House,2001,7.5,45,40114,75.0
258,No Man's Land,2001,8.0,84,39338,80.0
259,3000 Miles to Graceland,2001,5.9,21,39208,59.0
260,Rock Star,2001,6.2,54,35929,62.0
261,Dr. Dolittle 2,2001,4.7,49,35791,47.0
262,Driven,2001,4.5,29,35530,45.0
263,Saving Silverman,2001,5.9,22,34455,59.0
264,Cowboy Bebop: The Movie,2001,7.9,61,34445,79.0
265,The Curse of the Jade Scorpion,2001,6.8,52,33525,68.0
266,In the Bedroom,2001,7.5,86,33513,75.0
267,Black Knight,2001,4.8,32,32445,48.0
268,The Believer,2001,7.2,75,32002,72.0
269,Hearts in Atlantis,2001,6.9,55,31596,69.0
270,Wasabi,2001,6.6,53,31139,66.0
271,Mean Machine,2001,6.5,45,30899,65.0
272,Sex and Lucia,2001,7.2,65,30818,72.0
273,Bully,2001,7.0,45,30566,70.0
274,The Shipping News,2001,6.8,47,29586,68.0
275,Captain Corelli's Mandolin,2001,5.9,36,29177,59.0
276,Heist,2001,6.5,66,28917,65.0
277,Exit Wounds,2001,5.5,39,28595,55.0
278,Hedwig and the Angry Inch,2001,7.8,85,27527,78.0
279,Osmosis Jones,2001,6.3,57,27007,63.0
280,The Glass House,2001,5.8,34,26840,58.0
281,Bubble Boy,2001,5.6,41,26804,56.0
282,One Night at McCool's,2001,6.1,46,26436,61.0
283,Antitrust,2001,6.1,31,26239,61.0
284,Jimmy Neutron: Boy Genius,2001,6.0,65,25538,60.0
285,The Tailor of Panama,2001,6.1,66,24840,61.0
286,Hardball,2001,6.4,48,23734,64.0
287,Riding in Cars with Boys,2001,6.5,43,23636,65.0
288,Birthday Girl,2001,6.1,51,22237,61.0
